ok,organization,id,title,url,groups,groups_extra,vocabulary,vocabulary_extra,tags,original_tags,,
1,valencia,287382481422-valencia-estacionament-nocturn-permes-bus-estacionamiento-nocturno-permitido-bus,Valencia: Estacionamiento Nocturno Permitido BUS,https://valencia.opendatasoft.com/explore/dataset/estacionament-nocturn-permes-bus-estacionamiento-nocturno-permitido-bus,transporte,,estacionamiento,,estacionamiento,,,
1,alcoi,267149160811-alcoi-estaciones,Alcoy: Estaciones,https://opendata.alcoi.org/data/dataset/estaciones,transporte,,Estaciones,,estaciones,transporte,,
1,torrent,311293111345-torrent-estacions-de-metre-2016-estaciones-de-metro-2016,Torrent: Estaciones de metro 2016,http://datosabiertos.torrent.es/dataset/estacions-de-metre-2016-estaciones-de-metro-2016,transporte,,estaciones,,estaciones,"sector-publico, transporte",,
1,valencia,273059472934-valencia-fgv-estacions-estaciones,Valencia: Estaciones,https://valencia.opendatasoft.com/explore/dataset/fgv-estacions-estaciones,transporte,,estaciones,,estaciones,,,
1,valencia,407529144852-valencia-transporte-barrios,Valencia: Estaciones de Transporte Público,https://valencia.opendatasoft.com/explore/dataset/transporte-barrios,transporte ,,estaciones ,,estaciones,Transporte,,
1,valencia,592476261511-valencia-estacions-rodalia-valencia-val,Valencia: Estacions de rodalia a València,https://valencia.opendatasoft.com/explore/dataset/estacions-rodalia-valencia-val,transporte ,,estaciones ,,estaciones,Transporte,,
1,ine,658208588052-ine-240_2068,INE: Estancia media de las provincias con mayor número de pernoctaciones,https://www.ine.es/jaxiT3/Tabla.htm?t=2068,demanda,,estancia media,,estancia_media,,,
1,ine,274737397519-ine-238_2014,INE: Estancia media por categorías,https://www.ine.es/jaxiT3/Tabla.htm?t=2014,demanda,,estancia media,,estancia_media,,,
1,ine,842587758827-ine-240_2041,INE: Estancia media por categorías,https://www.ine.es/jaxiT3/Tabla.htm?t=2041,demanda,,estancia media,,estancia_media,,,
1,ine,136145081594-ine-240_2017,INE: Estancia media por comunidades autónomas,https://www.ine.es/jaxiT3/Tabla.htm?t=2017,demanda,,estancia media,,estancia_media,,,
1,ine,254923507762-ine-328_9666,INE: Estancia media por comunidades autónomas,https://www.ine.es/jaxiT3/Tabla.htm?t=9666,demanda,,estancia media,,estancia_media,,,
1,ine,751159425071-ine-239_2043,INE: Estancia media por comunidades autónomas,https://www.ine.es/jaxiT3/Tabla.htm?t=2043,demanda,,estancia media,,estancia_media,,,
1,ine,118889579182-ine-238_2065,INE: Estancia media por comunidades autónomas y provincias.,https://www.ine.es/jaxiT3/Tabla.htm?t=2065,demanda,,estancia media,,estancia_media,,,
1,ine,296970139171-ine-241_2023,INE: Estancia media por comunidades y ciudades autónomas,https://www.ine.es/jaxiT3/Tabla.htm?t=2023,demanda,,estancia media,,estancia_media,,,
1,ine,221283009972-ine-328_49383,INE: Estancia media por comunidades y ciudades autónomas,https://www.ine.es/jaxiT3/Tabla.htm?t=49383,demanda,,estancia media,,estancia_media,,,
1,ine,287618857242-ine-241_2067,INE: Estancia media por provincias,https://www.ine.es/jaxiT3/Tabla.htm?t=2067,demanda,,estancia media,,estancia_media,,,
1,ine,141206031489-ine-239_2061,INE: Estancia media por provincias,https://www.ine.es/jaxiT3/Tabla.htm?t=2061,demanda,,estancia media,,estancia_media,,,
1,ine,164829165381-ine-239_2081,INE: Estancia media por puntos turísticos,https://www.ine.es/jaxiT3/Tabla.htm?t=2081,demanda,,estancia media,,estancia_media,,,
1,ine,260506773411-ine-238_2077,INE: Estancia media por puntos turísticos,https://www.ine.es/jaxiT3/Tabla.htm?t=2077,demanda,,estancia media,,estancia_media,,,
1,ine,296281102371-ine-240_2075,INE: Estancia media por puntos turísticos,https://www.ine.es/jaxiT3/Tabla.htm?t=2075,demanda,,estancia media,,estancia_media,,,
1,ine,840799026339-ine-239_2020,INE: Estancia media por zonas turísticas,https://www.ine.es/jaxiT3/Tabla.htm?t=2020,demanda,,estancia media,,estancia_media,,,
1,ine,131947359974-ine-240_2048,INE: Estancia media por zonas turísticas,https://www.ine.es/jaxiT3/Tabla.htm?t=2048,demanda,,estancia media,,estancia_media,,,
1,ine,233746778455-ine-238_2040,INE: Estancia media por zonas turísticas,https://www.ine.es/jaxiT3/Tabla.htm?t=2040,demanda,,estancia media,,estancia_media,,,
1,ine,327635338159-ine-241_2000,INE: Estancia media por zonas turísticas,https://www.ine.es/jaxiT3/Tabla.htm?t=2000,demanda,,estancia media,,estancia_media,,,
1,ine,104845380209-ine-328_46664,INE: Estancia media según tipo de establecimiento,https://www.ine.es/jaxiT3/Tabla.htm?t=46664,demanda,,estancia media,,estancia_media,,,
1,ine,935913114478-ine-241_3150,"INE: Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas",https://www.ine.es/jaxiT3/Tabla.htm?t=3150,demanda,,estancia media,,estancia_media,,,
1,ine,336938542544-ine-239_3153,"INE: Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas",https://www.ine.es/jaxiT3/Tabla.htm?t=3153,demanda,,estancia media,,estancia_media,,,
1,ine,827021317013-ine-238_3150,"INE: Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas",https://www.ine.es/jaxiT3/Tabla.htm?t=3150,demanda,,estancia media,,estancia_media,,,
1,ine,174401352554-ine-239_2024,"INE: Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas",https://www.ine.es/jaxiT3/Tabla.htm?t=2024,demanda,,estancia media,,estancia_media,,,
1,ine,174915396254-ine-239_3150,"INE: Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas",https://www.ine.es/jaxiT3/Tabla.htm?t=3150,demanda,,estancia media,,estancia_media,,,
1,ine,212213095696-ine-240_2024,"INE: Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas",https://www.ine.es/jaxiT3/Tabla.htm?t=2024,demanda,,estancia media,,estancia_media,,,
1,ine,225839578806-ine-238_2024,"INE: Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas",https://www.ine.es/jaxiT3/Tabla.htm?t=2024,demanda,,estancia media,,estancia_media,,,
1,ine,319480905457-ine-240_3150,"INE: Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas",https://www.ine.es/jaxiT3/Tabla.htm?t=3150,demanda,,estancia media,,estancia_media,,,
1,ine,230674017195-ine-240_3153,"INE: Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas",https://www.ine.es/jaxiT3/Tabla.htm?t=3153,demanda,,estancia media,,estancia_media,,,
1,ine,295491067928-ine-238_3153,"INE: Estancia media, por tipo de alojamiento por comunidad y ciudades autónomas",https://www.ine.es/jaxiT3/Tabla.htm?t=3153,demanda,,estancia media,,estancia_media,,,
