CODIGO_MUNIINE,MUNICIPIO,RED DTI ,PORTAL DE OPEN DATA ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE,URL  DIPUTACIÓN DE ALICANTE,CATEGORIA DE TURISMO DPA,TECNOLOGIA,PROCESABLE,EPADATA ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE,AlLICANTEENCIFRAS CAMARA DE COMERCIO URL ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE,INE DATOS TURISTICOS ,CATEGORIA DE TURISMO ,TECNOLOGIA,PROCESABLE
3044,BIGASTRO,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03044,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/bigastro/1613,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3045,BOLULLA,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03045,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/bolulla/1679,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3049,BUSOT,SI (PRIMER NIVEL),,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03049,,,,,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3048,CALLOSA D'EN SARRIA,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03048,,,,,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3047,CALPE ó CALP,SI (SEGUNDO NIVEL),,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03047,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/calp/1935,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
3053,CASTALLA,SI  (PRIMER NIVEL),,,,,,,,,,,,,,,,,,,,
3052,CAÑADA,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03052,,,,,,,,,,,,,,,
3054,CASTELL DE CASTELLS ,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03054,,,,,,,,,,,,,,,
3055,CATRAL,,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03055,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/catral/2416,,,,,,,,,,,
3056,"COCENTAINA ",,,,,,http://documentacion.diputacionalicante.es/menulocal.asp?codigo=03056,,,,https://www.epdata.es/datos/ocupacion-hotelera-hoteles-datos-graficos-municipios/143/cocentaina/2614,,,,,,,,https://www.ine.es/jaxiT3/Tabla.htm?t=53001&L=0,"Número de turistas mensuales por CCAA y provincia de origen desagregados por municipio de destino
- (turistas, municipio, periodo)",,
